timestamp,open,high,low,close,volume
2025-05-15 06:00:00+00:00,0.05,4.58,0.05,4.55996,289181.5
2025-05-15 06:01:00+00:00,4.55996,5.0,4.5,5.0,95948.8
2025-05-15 06:02:00+00:00,5.0,5.0,5.0,5.0,45039.9
2025-05-15 06:03:00+00:00,5.0,5.0,5.0,5.0,49387.5
2025-05-15 06:04:00+00:00,5.0,5.0,5.0,5.0,63254.0
2025-05-15 06:05:00+00:00,5.0,14.69611,5.0,11.26,139803.1
2025-05-15 06:06:00+00:00,11.26,11.64287,4.8,4.9249,194644.7
2025-05-15 06:07:00+00:00,4.9249,5.0,1.93506,2.00003,400764.3
2025-05-15 06:08:00+00:00,2.00003,2.3,1.88,2.05001,764674.8
2025-05-15 06:09:00+00:00,2.05001,2.4,2.00501,2.24884,467467.1
2025-05-15 06:10:00+00:00,2.24884,3.15,2.24884,2.9552,342082.7
2025-05-15 06:11:00+00:00,2.9552,2.961,2.6,2.66001,254443.7
2025-05-15 06:12:00+00:00,2.66001,2.794,2.464,2.545,409712.2
2025-05-15 06:13:00+00:00,2.545,2.7359,2.5037,2.69522,269249.0
2025-05-15 06:14:00+00:00,2.69522,2.69522,2.15,2.15899,319975.8
2025-05-15 06:15:00+00:00,2.15899,2.2,2.01,2.15908,370176.0
2025-05-15 06:16:00+00:00,2.15908,2.2,2.072,2.11304,218077.8
2025-05-15 06:17:00+00:00,2.11304,2.2,2.11147,2.1789,283794.2
2025-05-15 06:18:00+00:00,2.1789,2.6,2.17544,2.43826,291972.5
2025-05-15 06:19:00+00:00,2.43826,2.46983,2.39593,2.42002,198868.9
2025-05-15 06:20:00+00:00,2.42002,2.42327,2.25,2.2995,217498.0
2025-05-15 06:21:00+00:00,2.2995,2.49,2.25012,2.4099,288435.3
2025-05-15 06:22:00+00:00,2.4099,2.57953,2.38,2.53527,198248.5
2025-05-15 06:23:00+00:00,2.53527,2.83495,2.4,2.62944,220842.7
2025-05-15 06:24:00+00:00,2.62944,2.8,2.54029,2.74808,203623.1
2025-05-15 06:25:00+00:00,2.74808,2.9,2.71,2.85694,337068.6
2025-05-15 06:26:00+00:00,2.85694,2.89,2.6733,2.69632,255350.0
2025-05-15 06:27:00+00:00,2.69632,2.74439,2.56514,2.58787,222081.4
2025-05-15 06:28:00+00:00,2.58787,2.62581,2.56514,2.57832,109793.4
2025-05-15 06:29:00+00:00,2.57832,2.652,2.53,2.6104,204554.1
2025-05-15 06:30:00+00:00,2.6104,2.7104,2.6,2.676,198331.5
2025-05-15 06:31:00+00:00,2.676,2.751,2.66401,2.7176,153193.8
2025-05-15 06:32:00+00:00,2.7176,2.71924,2.65,2.66001,118421.8
2025-05-15 06:33:00+00:00,2.66001,2.72,2.62024,2.71638,108577.8
2025-05-15 06:34:00+00:00,2.71638,2.75905,2.65,2.7143,102950.4
2025-05-15 06:35:00+00:00,2.7143,2.8,2.70554,2.8,157451.9
2025-05-15 06:36:00+00:00,2.8,3.05711,2.76979,3.04268,312085.5
2025-05-15 06:37:00+00:00,3.04268,3.2,2.9,3.10629,207882.7
2025-05-15 06:38:00+00:00,3.10629,3.35489,3.0765,3.17657,202292.9
2025-05-15 06:39:00+00:00,3.17657,3.48128,3.14329,3.41002,176569.6
2025-05-15 06:40:00+00:00,3.41002,3.5,3.37507,3.40416,167510.5
2025-05-15 06:41:00+00:00,3.40416,3.415,3.17417,3.1822,197092.3
2025-05-15 06:42:00+00:00,3.1822,3.27303,3.1,3.13364,137765.8
2025-05-15 06:43:00+00:00,3.13364,3.24,3.13364,3.14838,162532.0
2025-05-15 06:44:00+00:00,3.14838,3.2,3.13078,3.17645,132109.5
2025-05-15 06:45:00+00:00,3.17645,3.1911,3.13517,3.14303,101894.5
2025-05-15 06:46:00+00:00,3.14303,3.16449,2.9305,2.94768,181693.6
2025-05-15 06:47:00+00:00,2.94768,2.99148,2.92,2.93546,134199.4
