timestamp,open,high,low,close,volume
2025-05-15 07:30:00+00:00,0.1,3.29,0.1,2.9363,5869950.2
2025-05-15 07:31:00+00:00,2.9363,3.1323,2.9132,3.1135,3418437.5
2025-05-15 07:32:00+00:00,3.1104,3.29,3.0781,3.101,2375386.5
2025-05-15 07:33:00+00:00,3.1006,3.1813,3.0797,3.1467,1069188.0
2025-05-15 07:34:00+00:00,3.1446,3.1739,3.0059,3.05,984566.5
2025-05-15 07:35:00+00:00,3.0473,3.0532,2.9356,2.9512,1218869.0
2025-05-15 07:36:00+00:00,2.9516,3.0,2.9307,2.96,766483.6
2025-05-15 07:37:00+00:00,2.96,3.1,2.95,3.0742,857664.1
2025-05-15 07:38:00+00:00,3.0777,3.1814,3.0681,3.1633,908566.4
2025-05-15 07:39:00+00:00,3.1655,3.1817,3.1192,3.1333,613247.2
2025-05-15 07:40:00+00:00,3.1291,3.222,3.1056,3.2051,1107415.8
2025-05-15 07:41:00+00:00,3.2049,3.25,3.1669,3.1846,1212238.9
2025-05-15 07:42:00+00:00,3.1836,3.3151,3.1836,3.255,995280.0
2025-05-15 07:43:00+00:00,3.2571,3.333,3.248,3.299,887000.8
2025-05-15 07:44:00+00:00,3.2954,3.3867,3.2827,3.3389,1325298.6
2025-05-15 07:45:00+00:00,3.3422,3.39,3.2878,3.3227,916149.7
2025-05-15 07:46:00+00:00,3.3181,3.3288,3.1373,3.1986,818775.7
2025-05-15 07:47:00+00:00,3.1999,3.2499,3.143,3.181,646779.4
2025-05-15 07:48:00+00:00,3.1783,3.24,3.1702,3.2046,544724.8
2025-05-15 07:49:00+00:00,3.2076,3.2499,3.15,3.1526,600664.7
2025-05-15 07:50:00+00:00,3.1501,3.1527,3.02,3.0223,1036656.1
2025-05-15 07:51:00+00:00,3.025,3.0618,2.9647,3.0361,701604.0
2025-05-15 07:52:00+00:00,3.0361,3.08,2.9844,3.0531,509584.4
2025-05-15 07:53:00+00:00,3.0531,3.068,3.0,3.0585,645069.8
2025-05-15 07:54:00+00:00,3.0613,3.0896,3.0244,3.0381,536130.6
2025-05-15 07:55:00+00:00,3.0396,3.0505,3.0,3.0436,372917.2
2025-05-15 07:56:00+00:00,3.0365,3.0495,2.957,3.0269,519534.1
2025-05-15 07:57:00+00:00,3.0269,3.0795,3.0242,3.0388,359267.0
2025-05-15 07:58:00+00:00,3.038,3.0471,2.9909,3.0066,395466.7
2025-05-15 07:59:00+00:00,3.0047,3.0231,2.98,2.9878,300888.8
2025-05-15 08:00:00+00:00,2.9853,3.0499,2.95,3.0401,487191.5
2025-05-15 08:01:00+00:00,3.0352,3.0672,2.9879,3.0672,294642.1
2025-05-15 08:02:00+00:00,3.0625,3.0674,2.98,3.0102,345656.7
2025-05-15 08:03:00+00:00,3.015,3.0237,2.9222,2.956,355320.2
2025-05-15 08:04:00+00:00,2.9551,3.0,2.9,2.9702,447112.3
2025-05-15 08:05:00+00:00,2.9722,3.04,2.9631,3.0,389692.6
2025-05-15 08:06:00+00:00,3.0,3.04,2.9966,3.0364,250260.6
2025-05-15 08:07:00+00:00,3.0365,3.15,3.0101,3.1209,507266.8
2025-05-15 08:08:00+00:00,3.1198,3.1732,3.0968,3.1504,383924.1
2025-05-15 08:09:00+00:00,3.1508,3.1855,3.1303,3.1704,390025.9
2025-05-15 08:10:00+00:00,3.169,3.1885,3.117,3.1546,327265.8
2025-05-15 08:11:00+00:00,3.1536,3.1622,3.096,3.1154,245375.8
2025-05-15 08:12:00+00:00,3.1153,3.1523,3.0783,3.0833,194849.1
2025-05-15 08:13:00+00:00,3.0841,3.1,3.0425,3.0475,248136.3
2025-05-15 08:14:00+00:00,3.049,3.1,3.0476,3.0887,198673.4
2025-05-15 08:15:00+00:00,3.0884,3.1472,3.0684,3.1407,221094.9
2025-05-15 08:16:00+00:00,3.1395,3.1461,3.104,3.1093,218544.9
2025-05-15 08:17:00+00:00,3.1081,3.1113,2.982,3.0335,487280.4
2025-05-15 08:18:00+00:00,3.0325,3.0675,3.0,3.0265,181462.1
2025-05-15 08:19:00+00:00,3.0281,3.0439,3.0105,3.015,194116.2
2025-05-15 08:20:00+00:00,3.015,3.0354,2.99,3.0099,241736.8
2025-05-15 08:21:00+00:00,3.0098,3.0454,3.0051,3.0174,90635.8
2025-05-15 08:22:00+00:00,3.0178,3.0565,3.0123,3.0215,151458.2
2025-05-15 08:23:00+00:00,3.0229,3.0363,3.0122,3.024,74033.2
2025-05-15 08:24:00+00:00,3.0252,3.0347,2.9559,2.9623,300388.5
2025-05-15 08:25:00+00:00,2.9581,3.0019,2.95,2.9626,147041.5
2025-05-15 08:26:00+00:00,2.9601,3.0331,2.9208,3.0296,213635.9
2025-05-15 08:27:00+00:00,3.0298,3.0533,2.9779,3.0053,255347.1
2025-05-15 08:28:00+00:00,3.0053,3.0497,2.9978,3.02,116867.3
2025-05-15 08:29:00+00:00,3.0208,3.09,3.02,3.0788,208157.5
2025-05-15 08:30:00+00:00,3.0788,3.0953,3.0501,3.07,206345.9
2025-05-15 08:31:00+00:00,3.0698,3.0701,3.0261,3.06,188907.0
2025-05-15 08:32:00+00:00,3.06,3.08,3.0311,3.0635,191906.8
2025-05-15 08:33:00+00:00,3.066,3.12,3.0615,3.1045,249094.1
2025-05-15 08:34:00+00:00,3.1044,3.148,3.0982,3.1385,268359.9
2025-05-15 08:35:00+00:00,3.1386,3.2,3.1164,3.1915,289156.9
2025-05-15 08:36:00+00:00,3.1911,3.26,3.1544,3.2534,519925.6
2025-05-15 08:37:00+00:00,3.2535,3.2656,3.2205,3.24,459463.8
2025-05-15 08:38:00+00:00,3.2401,3.29,3.2009,3.22,407388.8
2025-05-15 08:39:00+00:00,3.2201,3.296,3.22,3.2751,361577.6
2025-05-15 08:40:00+00:00,3.2778,3.315,3.2617,3.2825,581031.2
2025-05-15 08:41:00+00:00,3.2817,3.32,3.2763,3.3021,272827.5
2025-05-15 08:42:00+00:00,3.3022,3.3196,3.243,3.2501,334573.8
2025-05-15 08:43:00+00:00,3.2501,3.3,3.2224,3.2857,208410.3
2025-05-15 08:44:00+00:00,3.2824,3.32,3.2782,3.3115,264691.2
2025-05-15 08:45:00+00:00,3.3096,3.4056,3.3063,3.3931,625150.8
2025-05-15 08:46:00+00:00,3.391,3.55,3.3764,3.4916,820368.6
2025-05-15 08:47:00+00:00,3.4884,3.5829,3.48,3.5654,484142.9
2025-05-15 08:48:00+00:00,3.5598,3.6262,3.4393,3.4488,855249.5
2025-05-15 08:49:00+00:00,3.4498,3.527,3.4395,3.5195,477020.5
2025-05-15 08:50:00+00:00,3.5196,3.6759,3.5183,3.5553,493731.9
2025-05-15 08:51:00+00:00,3.5531,3.5938,3.48,3.483,479477.7
2025-05-15 08:52:00+00:00,3.4802,3.5373,3.48,3.5195,186235.1
2025-05-15 08:53:00+00:00,3.5213,3.5464,3.48,3.5297,362673.5
2025-05-15 08:54:00+00:00,3.529,3.5866,3.5256,3.569,242008.6
2025-05-15 08:55:00+00:00,3.5694,3.5734,3.4986,3.5114,261441.5
2025-05-15 08:56:00+00:00,3.5066,3.5144,3.4494,3.5052,300790.4
2025-05-15 08:57:00+00:00,3.5055,3.56,3.4878,3.553,183047.5
2025-05-15 08:58:00+00:00,3.5543,3.6189,3.5287,3.6022,387023.8
2025-05-15 08:59:00+00:00,3.5987,3.7134,3.5918,3.6959,554560.7
2025-05-15 09:00:00+00:00,3.6963,3.74,3.6348,3.7103,455272.6
2025-05-15 09:01:00+00:00,3.7086,3.763,3.6726,3.7006,356133.5
2025-05-15 09:02:00+00:00,3.7006,3.7143,3.6051,3.6632,296391.9
2025-05-15 09:03:00+00:00,3.6601,3.6904,3.6233,3.6727,355834.3
2025-05-15 09:04:00+00:00,3.6695,3.78,3.6652,3.7242,700129.7
2025-05-15 09:05:00+00:00,3.7319,3.7641,3.7306,3.7545,351261.3
2025-05-15 09:06:00+00:00,3.7523,3.798,3.6964,3.7004,668147.2
2025-05-15 09:07:00+00:00,3.6955,3.705,3.6322,3.67,343614.6
2025-05-15 09:08:00+00:00,3.6707,3.7,3.58,3.6123,594209.7
2025-05-15 09:09:00+00:00,3.6123,3.6848,3.6003,3.6681,361667.2
2025-05-15 09:10:00+00:00,3.6687,3.76,3.6617,3.754,375717.8
2025-05-15 09:11:00+00:00,3.754,3.8109,3.74,3.809,393095.8
2025-05-15 09:12:00+00:00,3.8109,3.8623,3.8039,3.8576,334572.3
2025-05-15 09:13:00+00:00,3.8558,3.8674,3.7905,3.7929,315145.9
